Date,ETF Close,NIFTY Return,Invested Today,Total Invested,Units Bought,Total Units,Portfolio Value,NIFTY Close
2024-02-06,29.66,0.0072,0,312000,0.0,3986.9624,118253.3,21929.4
2024-02-07,29.97,0.0001,0,312000,0.0,3986.9624,119489.26,21930.5
2024-02-08,30.38,-0.0097,3000,315000,98.7492,4085.7115,124123.92,21717.95
2024-02-09,30.09,0.003,0,315000,0.0,4085.7115,122939.06,21782.5
2024-02-12,29.97,-0.0076,2000,317000,66.7334,4152.4449,124448.77,21616.05
2024-02-13,29.54,0.0059,0,317000,0.0,4152.4449,122663.22,21743.25
2024-02-14,29.78,0.0045,0,317000,0.0,4152.4449,123659.81,21840.05
2024-02-15,30.26,0.0032,0,317000,0.0,4152.4449,125652.98,21910.75
2024-02-16,31.98,0.0059,0,317000,0.0,4152.4449,132795.19,22040.7
2024-02-19,30.53,0.0037,0,317000,0.0,4152.4449,126774.14,22122.25
2024-02-20,30.34,0.0034,0,317000,0.0,4152.4449,125985.18,22196.95
2024-02-21,29.95,-0.0064,7000,324000,233.7229,4386.1678,131365.73,22055.05
2024-02-22,30.29,0.0074,0,324000,0.0,4386.1678,132857.02,22217.45
2024-02-23,30.41,-0.0002,2000,326000,65.7678,4451.9356,135383.36,22212.7
2024-02-26,30.4,-0.0041,1000,327000,32.8947,4484.8304,136338.84,22122.05
2024-02-27,30.37,0.0034,0,327000,0.0,4484.8304,136204.3,22198.35
2024-02-28,29.99,-0.0111,2000,329000,66.6889,4551.5193,136500.06,21951.15
2024-02-29,30.03,0.0014,0,329000,0.0,4551.5193,136682.12,21982.8
2024-03-01,30.47,0.0162,0,329000,0.0,4551.5193,138684.79,22338.75
