Date,ETF Close,NIFTY Return,RSI,MA20,Invested Today,Carry Over,Additional Invest,Total Invested,Units Bought,Total Units,Portfolio Value,NIFTY Close,Daily_Return
2024-02-29,59.5,0.0014,56.67,21959.77,0.0,28303.59,0.0,358491.75,0.0,2169.0582,129058.96,21982.8,0.01190475630430532
2024-03-01,60.36,0.0162,71.36,21984.02,0.0,29303.59,0.0,358491.75,0.0,2169.0582,130924.35,22338.75,0.014453781434469848
2024-03-02,60.33,0.0018,69.8,22014.35,0.0,30303.59,0.0,358491.75,0.0,2169.0582,130859.28,22378.4,-0.0004970045679051349
2024-03-04,60.42,0.0012,68.43,22038.16,0.0,31303.59,0.0,358491.75,0.0,2169.0582,131054.49,22405.6,0.0014917551128204032
2024-03-05,60.32,-0.0022,64.72,22059.45,0.0,32303.59,110.02,358491.75,0.0,2169.0582,130837.59,22356.3,-0.0016550367713460412
2024-03-06,60.25,0.0053,64.44,22097.26,0.0,33303.59,0.0,358491.75,0.0,2169.0582,130685.75,22474.05,-0.0011605227519093653
2024-03-07,60.43,0.0009,62.9,22132.81,0.0,34303.59,0.0,358491.75,0.0,2169.0582,131076.19,22493.55,0.0029876248940683414
2024-03-11,60.99,-0.0072,54.45,22168.64,0.0,35303.59,357.66,358491.75,0.0,2169.0582,132290.86,22332.65,0.009266900418756219
2024-03-12,59.91,0.0001,60.12,22198.26,0.0,36303.59,0.0,358491.75,0.0,2169.0582,129948.27,22335.7,-0.01770787490534098
2024-03-13,57.58,-0.0151,42.97,22206.14,19908.43,18151.79,756.64,378400.18,345.7525,2514.8107,144802.8,21997.7,0.1143111024102128
2024-03-14,58.86,0.0068,48.06,22217.94,0.0,19151.79,0.0,378400.18,0.0,2514.8107,148021.76,22146.65,0.02222995687928697
2024-03-15,58.35,-0.0056,47.16,22217.07,0.0,20151.79,278.37,378400.18,0.0,2514.8107,146739.2,22023.35,-0.008664672004980889
2024-03-18,58.89,0.0015,45.79,22213.74,0.0,21151.79,0.0,378400.18,0.0,2514.8107,148097.2,22055.7,0.00925451413119327
2024-03-19,57.93,-0.0108,46.03,22194.77,0.0,22151.79,540.11,378400.18,0.0,2514.8107,145682.98,21817.45,-0.01630159111718521
2024-03-20,57.95,0.001,45.71,22183.97,0.0,23151.79,0.0,378400.18,0.0,2514.8107,145733.28,21839.1,0.0003452702573765176
2024-03-21,59.5,0.0079,39.05,22173.7,0.0,24151.79,0.0,378400.18,0.0,2514.8107,149631.24,22011.95,0.02674721930364843
2024-03-22,59.77,0.0039,40.84,22167.9,0.0,25151.79,0.0,378400.18,0.0,2514.8107,150310.23,22096.75,0.00453775561841252
2024-03-26,60.36,-0.0042,37.49,22162.03,13784.19,12575.9,208.29,392184.36,228.3662,2743.1769,165578.16,22004.7,0.10157612026806162
2024-03-27,60.56,0.0054,43.04,22158.3,0.0,13575.9,0.0,392184.36,0.0,2743.1769,166126.79,22123.65,0.003313420079073204
2024-03-28,61.08,0.0092,45.81,22177.08,0.0,14575.9,0.0,392184.36,0.0,2743.1769,167553.25,22326.9,0.00858657414616859
2024-04-01,62.16,0.0061,49.16,22201.04,0.0,15575.9,0.0,392184.36,0.0,2743.1769,170515.88,22462.0,0.017681722079398776
2024-04-02,63.13,-0.0004,53.5,22206.77,0.0,16575.9,19.37,392184.36,0.0,2743.1769,173176.76,22453.3,0.0156048809061069
2024-04-03,62.97,-0.0008,52.85,22209.58,0.0,17575.9,41.53,392184.36,0.0,2743.1769,172737.85,22434.65,-0.0025344624763739
2024-04-04,62.64,0.0036,67.48,22215.04,0.0,18575.9,0.0,392184.36,0.0,2743.1769,171832.6,22514.65,-0.005240600134828632
2024-04-05,63.32,-0.0,63.79,22222.91,0.0,19575.9,2.11,392184.36,0.0,2743.1769,173697.96,22513.7,0.010855681634334813
2024-04-08,63.43,0.0068,73.64,22232.52,0.0,20575.9,0.0,392184.36,0.0,2743.1769,173999.71,22666.3,0.001737210960911728
2024-04-09,63.4,-0.001,71.72,22239.98,0.0,21575.9,51.95,392184.36,0.0,2743.1769,173917.42,22642.75,-0.00047293182270236045
2024-04-10,64.0,0.0049,88.24,22261.04,0.0,22575.9,0.0,392184.36,0.0,2743.1769,175563.32,22753.8,0.009463686846320485
2024-04-12,63.64,-0.0103,73.67,22270.22,0.0,23575.9,515.08,392184.36,0.0,2743.1769,174575.78,22519.4,-0.005624979067381575
2024-04-15,62.76,-0.011,58.62,22283.96,0.0,24575.9,548.19,392184.36,0.0,2743.1769,172161.78,22272.5,-0.013827805896098555
2024-04-16,62.53,-0.0056,51.65,22284.02,0.0,25575.9,279.72,392184.36,0.0,2743.1769,171530.85,22147.9,-0.0036647506781121164
2024-04-18,62.69,-0.0069,49.73,22282.65,0.0,26575.9,343.26,392184.36,0.0,2743.1769,171969.76,21995.85,0.002558781700201518
2024-04-19,62.39,0.0069,50.71,22287.22,0.0,27575.9,0.0,392184.36,0.0,2743.1769,171146.81,22147.0,-0.004785434369391495
2024-04-22,63.07,0.0086,50.29,22313.16,0.0,28575.9,0.0,392184.36,0.0,2743.1769,173012.17,22336.4,0.010899180650810969
2024-04-23,63.29,0.0014,46.92,22339.61,0.0,29575.9,0.0,392184.36,0.0,2743.1769,173615.67,22368.0,0.003488193923005589
2024-04-24,65.31,0.0015,48.36,22359.13,0.0,30575.9,0.0,392184.36,0.0,2743.1769,179156.88,22402.4,0.031916531497416134
2024-04-25,64.2,0.0075,53.99,22382.81,0.0,31575.9,0.0,392184.36,0.0,2743.1769,176111.96,22570.35,-0.016995830693189218
2024-04-26,64.62,-0.0067,47.33,22403.57,0.0,32575.9,333.18,392184.36,0.0,2743.1769,177264.09,22419.95,0.006542031557652317
2024-04-29,64.95,0.01,53.25,22429.56,0.0,33575.9,0.0,392184.36,0.0,2743.1769,178169.34,22643.4,0.005106787279927971
2024-04-30,64.71,-0.0017,48.37,22443.46,0.0,34575.9,85.12,392184.36,0.0,2743.1769,177510.98,22604.85,-0.00369513632367946
2024-05-02,66.48,0.0019,50.14,22452.77,0.0,35575.9,0.0,392184.36,0.0,2743.1769,182366.4,22648.2,0.02735278685295972
2024-05-03,66.25,-0.0076,42.91,22453.89,0.0,36575.9,380.49,392184.36,0.0,2743.1769,181735.47,22475.85,-0.0034596833627246193
2024-05-06,65.6,-0.0015,47.82,22454.3,0.0,37575.9,73.75,392184.36,0.0,2743.1769,179952.41,22442.7,-0.009811293304493596
2024-05-07,64.47,-0.0062,50.91,22443.69,0.0,38575.9,312.35,392184.36,0.0,2743.1769,176852.62,22302.5,-0.017225609815395115
2024-05-08,65.3,0.0,55.06,22433.13,0.0,39575.9,0.0,392184.36,0.0,2743.1769,179129.45,22302.5,0.012874166071161541
2024-05-09,63.89,-0.0155,48.89,22397.69,0.0,40575.9,773.46,392184.36,0.0,2743.1769,175261.57,21957.5,-0.021592652687763003
2024-05-10,64.2,0.0044,47.25,22368.31,0.0,41575.9,0.0,392184.36,0.0,2743.1769,176111.96,22055.2,0.004852119035564817
2024-05-13,64.63,0.0022,42.39,22335.82,0.0,42575.9,0.0,392184.36,0.0,2743.1769,177291.52,22104.05,0.006697784750110181
2024-05-14,65.88,0.0051,45.33,22320.75,0.0,43575.9,0.0,392184.36,0.0,2743.1769,180720.5,22217.85,0.019340913767336376
2024-05-15,66.29,-0.0008,43.66,22317.15,22826.88,21787.95,38.93,415011.24,344.3488,3087.5257,204672.08,22200.55,0.13253382986434836
2024-05-16,66.53,0.0092,44.88,22329.95,0.0,22787.95,0.0,415011.24,0.0,3087.5257,205413.09,22403.85,0.00362047427279788
2024-05-17,67.4,0.0028,51.5,22353.46,0.0,23787.95,0.0,415011.24,0.0,3087.5257,208099.23,22466.1,0.013076771300212675
2024-05-18,68.27,0.0016,44.77,22371.21,0.0,24787.95,0.0,415011.24,0.0,3087.5257,210785.38,22502.0,0.0129080246957185
2024-05-21,69.01,0.0012,47.17,22380.84,0.0,25787.95,0.0,415011.24,0.0,3087.5257,213070.15,22529.05,0.010839319121658253
2024-05-22,69.07,0.0031,48.15,22392.33,0.0,26787.95,0.0,415011.24,0.0,3087.5257,213255.4,22597.8,0.0008694319687669871
2024-05-23,69.34,0.0164,65.73,22420.59,0.0,27787.95,0.0,415011.24,0.0,3087.5257,214089.03,22967.65,0.003909068656643644
2024-05-24,69.73,-0.0005,66.7,22439.93,0.0,28787.95,22.97,415011.24,0.0,3087.5257,215293.17,22957.1,0.00562448248749603
2024-05-27,69.61,-0.0011,72.1,22465.56,0.0,29787.95,53.69,415011.24,0.0,3087.5257,214922.66,22932.45,-0.0017209556624578903
2024-05-28,69.15,-0.0019,69.93,22477.8,0.0,30787.95,96.59,415011.24,0.0,3087.5257,213502.4,22888.15,-0.006608237586488097
2024-05-29,68.69,-0.008,78.57,22482.79,0.0,31787.95,400.75,415011.24,0.0,3087.5257,212082.14,22704.7,-0.006652196883969341
2024-05-30,67.99,-0.0095,65.2,22474.81,0.0,32787.95,475.78,415011.24,0.0,3087.5257,209920.87,22488.65,-0.010190721387477564
2024-05-31,68.21,0.0019,65.03,22477.55,0.0,33787.95,0.0,415011.24,0.0,3087.5257,210600.13,22530.7,0.0032357907053262025
