date,nav,invested_today,extra_amount,carry_over,total_invested,total_units,portfolio_value,MA,RSI,daily_ret
2024-02-26,15.49,1000.0,0.0,79790.5572120241,820779.3591192993,73791.67259413852,1143033.0084832057,15.116,69.9115044247788,-0.000414988336522204
2024-02-27,15.49,1000.0,0.0,80790.5572120241,821779.3591192993,73856.23037335092,1144033.0084832057,15.156,67.30769230769229,0.0008748653735966005
2024-02-28,15.31,1000.0,0.0,81790.5572120241,822779.3591192993,73921.54715976503,1131738.8870160028,15.1785,58.33333333333339,-0.010746299605028709
2024-02-29,15.35,1000.0,0.0,82790.5572120241,823779.3591192993,73986.69373956959,1135695.748902393,15.203,62.71186440677963,0.0034962674975524966
2024-03-01,15.5,1000.0,0.0,83790.5572120241,824779.3591192993,74051.20986860184,1147793.7529633285,15.229499999999998,75.42372881355935,0.010652504486899472
2024-03-04,15.56,1000.0,0.0,84790.5572120241,825779.3591192993,74115.47722078694,1153236.8255554447,15.261499999999998,74.78260869565221,0.004742204405681294
2024-03-05,15.47,1000.0,0.0,85790.5572120241,826779.3591192993,74180.11846189878,1147566.4326055741,15.283000000000001,67.79661016949154,-0.004916937114923914
2024-03-06,15.48,1000.0,0.0,86790.5572120241,827779.3591192993,74244.71794510291,1149308.233790193,15.300500000000003,65.13761467889911,0.0015178216573170644
2024-03-07,15.55,1000.0,0.0,87790.5572120241,828779.3591192993,74309.02662677494,1155505.3640463504,15.3225,63.46153846153853,0.005392052431157257
2024-03-11,15.46,1000.0,0.0,88790.5572120241,829779.3591192993,74373.70967981505,1149817.5516499407,15.343,57.657657657657744,-0.004922359145518862
2024-03-12,15.34,1000.0,0.0,89790.5572120241,830779.3591192993,74438.89872805493,1141892.7064883627,15.365,49.57264957264958,-0.0068922631683662194
2024-03-13,14.94,46416.790991931215,45416.790991931215,44895.27860601205,877196.1501112306,77545.77898186559,1158533.937989072,15.3625,39.189189189189186,0.01457337577002793
2024-03-14,15.12,1000.0,0.0,45895.27860601205,878196.1501112306,77611.91654800315,1173492.1782058077,15.366,39.5973154362416,0.0129113526382314
2024-03-15,15.02,24079.914435281156,23079.914435281156,22947.639303006024,902276.0645465117,79215.10659029883,1189810.9009862884,15.3595,33.774834437086085,0.01390611977101619
2024-03-18,15.06,1000.0,0.0,23947.639303006024,903276.0645465117,79281.50765271584,1193979.5052499005,15.348999999999998,35.94771241830067,0.003503585536286824
2024-03-19,14.92,13159.742626270609,12159.742626270609,11973.819651503012,916435.8071727824,80163.52793597794,1196039.836804791,15.3305,32.934131736526965,0.0017256004360470811
2024-03-20,14.96,1000.0,0.0,12973.819651503012,917435.8071727824,80230.37285576403,1200246.37792223,15.310999999999998,38.56209150326801,0.0035170576999148384
2024-03-21,15.16,1000.0,0.0,13973.819651503012,918435.8071727824,80296.33591645004,1217292.4524933826,15.306000000000001,44.378698224852094,0.014202146229894463
2024-03-22,15.28,1000.0,0.0,14973.819651503012,919435.8071727824,80361.78094262806,1227928.0128033566,15.2985,43.3734939759036,0.008737062558951347
2024-03-26,15.37,1000.0,0.0,15973.819651503012,920435.8071727824,80426.84275134634,1236160.573088193,15.2915,44.37869822485204,0.0067044323437508435
2024-03-27,15.45,1000.0,0.0,16973.819651503014,921435.8071727824,80491.56767044018,1243594.7205083007,15.2895,49.40476190476186,0.006013901091777685
2024-03-28,15.58,1000.0,0.0,17973.819651503014,922435.8071727824,80555.75252281502,1255058.624305458,15.294,52.77777777777777,0.009218359975403878
2024-03-31,15.58,1000.0,0.0,18973.819651503014,923435.8071727824,80619.93737518985,1256058.6243054578,15.3075,50.86705202312136,0.0007967755295519297
2024-04-01,15.69,1000.0,0.0,19973.819651503014,924435.8071727824,80683.6722381599,1265926.8174167287,15.3245,56.571428571428534,0.007856474944971215
2024-04-02,15.73,1000.0,0.0,20973.819651503014,925435.8071727824,80747.24502900541,1270154.164306255,15.336000000000002,61.67664670658683,0.003339329597387586
2024-04-03,15.77,1000.0,0.0,21973.819651503014,926435.8071727824,80810.65656990586,1274384.0541074153,15.3465,81.6793893129771,0.0033302176381639903
2024-04-04,15.88,1000.0,0.0,22973.819651503014,927435.8071727824,80873.62886209729,1284273.226330105,15.366999999999999,80.64516129032259,0.007759962305567303
2024-04-05,15.93,1000.0,0.0,23973.819651503014,928435.8071727824,80936.40350114311,1289316.9077732097,15.389499999999998,88.23529411764703,0.003927265117499523
2024-04-08,15.98,1000.0,0.0,24973.819651503014,929435.8071727824,80998.98172392159,1294363.727948267,15.411000000000001,88.3333333333333,0.003914336455707934
